time,pressure[hPa],temperature[℃],humidity[%]
0.000533103942871,988.4,24.36,67.44
5.00613808632,988.44,24.36,67.45
10.0118350983,988.33,24.37,67.45
15.01749897,988.4,24.37,67.46
20.0196459293,988.35,24.36,67.48
25.0236859322,988.42,24.36,67.5
30.0249431133,988.45,24.36,67.47
35.0265319347,988.42,24.37,67.48
40.0322079659,988.4,24.38,67.47
45.0378990173,988.36,24.37,67.49
50.0421481133,988.41,24.37,67.53
55.0478389263,988.45,24.38,67.54
60.0519111156,988.42,24.38,67.52
65.0556719303,988.42,24.38,67.53
70.0595941544,988.42,24.37,67.56
75.065103054,988.35,24.37,67.6
80.0680260658,988.41,24.38,67.73
85.0722050667,988.39,24.38,67.8
90.0778670311,988.36,24.39,67.87
95.07959795,988.49,24.39,67.92
100.085161924,988.39,24.39,67.93
105.090834141,988.38,24.39,67.93
110.095940113,988.32,24.39,67.93
115.101571083,988.32,24.4,67.9
120.103873968,988.34,24.41,67.88
125.109498024,988.41,24.39,67.91
130.115132093,988.33,24.41,67.92
135.120481968,988.25,24.4,67.92
140.126065969,988.32,24.41,67.94
145.131732941,988.41,24.4,67.96
150.137352943,988.29,24.4,67.96
155.140077114,988.37,24.41,67.94
160.145730019,988.3,24.41,67.94
165.151386023,988.27,24.41,67.92
170.156670094,988.36,24.41,67.91
175.159574986,988.3,24.41,67.94
180.163996935,988.3,24.41,67.99
185.169646978,988.36,24.41,68.08
190.172152996,988.36,24.41,68.13
195.175562143,988.31,24.43,68.13
200.181152105,988.36,24.42,68.13
205.18680501,988.34,24.43,68.12
210.192458153,988.33,24.43,68.12
215.198118925,988.36,24.43,68.12
220.203830004,988.36,24.42,68.15
225.209510088,988.33,24.42,68.2
230.215162992,988.3,24.43,68.23
235.220806122,988.39,24.43,68.27
240.226529121,988.36,24.43,68.31
245.232161999,988.34,24.44,68.36
250.235675097,988.35,24.43,68.44
255.239578962,988.37,24.43,68.46
260.245159149,988.34,24.43,68.51
265.249899149,988.34,24.43,68.53
270.255167961,988.36,24.43,68.53
275.260370016,988.37,24.43,68.53
280.263697147,988.37,24.44,68.52
285.267558098,988.35,24.43,68.51
290.271906137,988.37,24.43,68.51
295.275646925,988.34,24.45,68.54
300.281239986,988.37,24.44,68.58
305.28687501,988.35,24.45,68.56
310.291569948,988.34,24.44,68.55
315.295753002,988.33,24.45,68.55
320.301365137,988.31,24.45,68.56
325.307024002,988.37,24.46,68.54
330.311653137,988.36,24.46,68.58
335.316849947,988.33,24.46,68.63
340.317490101,988.33,24.46,68.67
345.323166132,988.36,24.47,68.68
350.328911066,988.4,24.47,68.68
355.334525108,988.34,24.46,68.7
360.339554071,988.33,24.47,68.69
365.343647957,988.37,24.47,68.69
370.349260092,988.37,24.48,68.68
375.354897976,988.39,24.47,68.66
380.360557079,988.33,24.48,68.6
385.363620996,988.44,24.48,68.55
390.367928028,988.34,24.48,68.49
395.373146057,988.33,24.48,68.43
400.375926971,988.44,24.48,68.47
405.381217957,988.41,24.48,68.46
410.386398077,988.37,24.49,68.45
415.387931108,988.38,24.49,68.42
420.391596079,988.32,24.49,68.58
425.395959139,988.35,24.49,68.62
430.401627064,988.33,24.49,68.63
435.405369997,988.32,24.49,68.64
440.410810947,988.36,24.49,68.64
445.415410042,988.32,24.49,68.59
450.420721054,988.38,24.49,68.59
455.423640966,988.33,24.5,68.58
460.427725077,988.34,24.5,68.57
465.432013988,988.34,24.51,68.57
470.437662125,988.37,24.51,68.61
475.439713001,988.35,24.52,68.64
480.445320129,988.37,24.51,68.63
485.450659037,988.35,24.51,68.56
490.455722094,988.35,24.5,68.5
495.459712982,988.34,24.51,68.45
500.465275049,988.38,24.51,68.44
505.470576048,988.41,24.5,68.42
510.475590944,988.37,24.5,68.39
515.479972124,988.39,24.49,68.36
520.482778072,988.36,24.49,68.39
525.48763299,988.33,24.49,68.37
530.491964102,988.3,24.51,68.36
535.49724412,988.29,24.51,68.4
540.502849102,988.32,24.5,68.45
545.508497953,988.34,24.51,68.46
550.514148951,988.37,24.52,68.48
555.519814014,988.34,24.52,68.51
560.523775101,988.34,24.52,68.52
565.529392004,988.37,24.52,68.55
570.535005093,988.28,24.52,68.63
575.54064703,988.34,24.52,68.69
580.546289921,988.31,24.51,68.75
585.547945976,988.33,24.5,68.79
590.551976919,988.23,24.51,68.87
595.55569005,988.27,24.52,68.89
600.559916973,988.32,24.52,68.9
605.565551043,988.26,24.52,68.9
610.566807032,988.34,24.53,68.92
615.572251081,988.35,24.52,69.01
620.577600956,988.31,24.52,69
625.579679012,988.34,24.53,69.04
630.58526206,988.3,24.53,69.02
635.590873003,988.32,24.52,68.96
640.595983982,988.37,24.52,68.96
645.601625919,988.26,24.53,69.02
650.607275009,988.32,24.53,69.02
655.608829975,988.33,24.53,69.01
660.614444017,988.32,24.54,69.04
665.61989212,988.34,24.53,69.08
670.625460148,988.35,24.53,69.1
675.631101131,988.32,24.53,69.13
680.635975122,988.25,24.53,69.1
685.641633034,988.31,24.54,69.11
690.643581152,988.32,24.54,69.12
695.648010015,988.32,24.54,69.14
700.653650045,988.32,24.54,69.18
705.659296036,988.34,24.56,69.22
710.66399312,988.32,24.55,69.24
715.66802597,988.36,24.55,69.23
720.673676014,988.38,24.55,69.22
725.679311991,988.3,24.55,69.21
730.684890985,988.28,24.55,69.18
735.68810606,988.28,24.55,69.18
740.693619013,988.34,24.55,69.21
745.69571805,988.28,24.54,69.25
